,Адрес объекта,Тип Объекта,Этажность объекта,Дата постройки,Общая площадь объекта,year_range,Number_of_storeys_range,year_range_1959-1989,year_range_1990-2000,year_range_2001-2010,year_range_2011-2024,Number_of_storeys_range_3-4,Number_of_storeys_range_5-9,Number_of_storeys_range_10-12,Number_of_storeys_range_> 13
22,"б-р. Ибрагимова, д.21",Многоквартирный дом,9,1973,7789.9,1959-1989,5-9,True,False,False,False,False,True,False,False
23,"б-р. Ибрагимова, д.21 корп.1",Многоквартирный дом,10,2006,9956.3,2001-2010,10-12,False,False,True,False,False,False,True,False
24,"б-р. Ибрагимова, д.23",Многоквартирный дом,9,1970,7866.7,1959-1989,5-9,True,False,False,False,False,True,False,False
25,"б-р. Ибрагимова, д.23 корп.1",Многоквартирный дом,6,1989,2841.9,1959-1989,5-9,True,False,False,False,False,True,False,False
26,"б-р. Ибрагимова, д.23 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
27,"б-р. Ибрагимова, д.25",Многоквартирный дом,9,1970,7351.9,1959-1989,5-9,True,False,False,False,False,True,False,False
28,"б-р. Ибрагимова, д.32",Многоквартирный дом,11,2013,9458.6,2011-2024,10-12,False,False,False,True,False,False,True,False
29,"б-р. Ибрагимова, д.34",Многоквартирный дом,14,2017,11002.9,2011-2024,> 13,False,False,False,True,False,False,False,True
30,"б-р. Ибрагимова, д.35",Многоквартирный дом,9,1989,5438.8,1959-1989,5-9,True,False,False,False,False,True,False,False
31,"б-р. Ибрагимова, д.35 корп.1",Многоквартирный дом,6,1992,5289.7,1990-2000,5-9,False,True,False,False,False,True,False,False
32,"б-р. Ибрагимова, д.37",Многоквартирный дом,5,1968,6367.4,1959-1989,5-9,True,False,False,False,False,True,False,False
33,"б-р. Ибрагимова, д.37 корп.1",Многоквартирный дом,5,1968,3214.1,1959-1989,5-9,True,False,False,False,False,True,False,False
34,"б-р. Ибрагимова, д.37 корп.2",Многоквартирный дом,5,1975,3859.1,1959-1989,5-9,True,False,False,False,False,True,False,False
35,"б-р. Ибрагимова, д.37 корп.3",Многоквартирный дом,9,2013,6366.2,2011-2024,5-9,False,False,False,True,False,True,False,False
36,"б-р. Ибрагимова, д.41",Другое строение,2,1936,0.01,1900-1958,1-2,False,False,False,False,False,False,False,False
37,"б-р. Ибрагимова, д.42",Многоквартирный дом,10,2005,8109.0,2001-2010,10-12,False,False,True,False,False,False,True,False
38,"б-р. Ибрагимова, д.44",Многоквартирный дом,10,1997,8515.9,1990-2000,10-12,False,True,False,False,False,False,True,False
39,"б-р. Ибрагимова, д.46",Многоквартирный дом,12,2003,8854.9,2001-2010,10-12,False,False,True,False,False,False,True,False
40,"б-р. Ибрагимова, д.46 корп.1",Другое строение,0,,0.01,,,False,False,False,False,False,False,False,False
41,"б-р. Ибрагимова, д.47",Многоквартирный дом,5,1973,3492.6,1959-1989,5-9,True,False,False,False,False,True,False,False
42,"б-р. Ибрагимова, д.47 корп.1",Многоквартирный дом,9,1981,9474.3,1959-1989,5-9,True,False,False,False,False,True,False,False
43,"б-р. Ибрагимова, д.49",Многоквартирный дом,5,1972,4073.6,1959-1989,5-9,True,False,False,False,False,True,False,False
44,"б-р. Ибрагимова, д.49 корп.1",Многоквартирный дом,5,1970,3388.8,1959-1989,5-9,True,False,False,False,False,True,False,False
45,"б-р. Ибрагимова, д.49 корп.2",Другое строение,1,1970,0.01,1959-1989,,True,False,False,False,False,False,False,False
46,"б-р. Ибрагимова, д.49 корп.3",Другое строение,2,1982,0.01,1959-1989,1-2,True,False,False,False,False,False,False,False
47,"б-р. Ибрагимова, д.51",Многоквартирный дом,5,1970,3563.5,1959-1989,5-9,True,False,False,False,False,True,False,False
48,"б-р. Ибрагимова, д.51 корп.2",Другое строение,1,2003,0.01,2001-2010,,False,False,True,False,False,False,False,False
49,"б-р. Ибрагимова, д.53",Многоквартирный дом,14,1994,5066.1,1990-2000,> 13,False,True,False,False,False,False,False,True
50,"б-р. Ибрагимова, д.57",Другое строение,3,2004,0.01,2001-2010,3-4,False,False,True,False,True,False,False,False
51,"б-р. Ибрагимова, д.61",Другое строение,5,,0.01,,5-9,False,False,False,False,False,True,False,False
52,"б-р. Ибрагимова, д.62",Многоквартирный дом,2,1954,713.2,1900-1958,1-2,False,False,False,False,False,False,False,False
53,"б-р. Ибрагимова, д.62 корп.а",Другое строение,1,2004,,2001-2010,,False,False,True,False,False,False,False,False
54,"б-р. Ибрагимова, д.63",Другое строение,10,1987,0.01,1959-1989,10-12,True,False,False,False,False,False,True,False
55,"б-р. Ибрагимова, д.64",Многоквартирный дом,2,1956,582.0,1900-1958,1-2,False,False,False,False,False,False,False,False
56,"б-р. Ибрагимова, д.72",Многоквартирный дом,2,1958,605.2,1900-1958,1-2,False,False,False,False,False,False,False,False
57,"б-р. Ибрагимова, д.74 корп.76",Многоквартирный дом,2,1956,618.9,1900-1958,1-2,False,False,False,False,False,False,False,False
58,"б-р. Ибрагимова, д.78 корп.80",Многоквартирный дом,2,1956,659.2,1900-1958,1-2,False,False,False,False,False,False,False,False
59,"б-р. Ибрагимова, д.82",Другое строение,7,1986,0.01,1959-1989,5-9,True,False,False,False,False,True,False,False
60,"б-р. Ибрагимова, д.84",Другое строение,4,1973,0.03,1959-1989,3-4,True,False,False,False,True,False,False,False
61,"б-р. Ибрагимова, д.86",Другое строение,5,2001,0.01,2001-2010,5-9,False,False,True,False,False,True,False,False
62,"б-р. Ибрагимова, д.90 корп.2",Многоквартирный дом,20,,53759.1,,> 13,False,False,False,False,False,False,False,True
63,"б-р. Молодежный, д.10",Многоквартирный дом,9,1972,4914.9,1959-1989,5-9,True,False,False,False,False,True,False,False
64,"б-р. Молодежный, д.2",Многоквартирный дом,9,1975,4507.6,1959-1989,5-9,True,False,False,False,False,True,False,False
65,"б-р. Молодежный, д.2 корп.А",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
66,"б-р. Молодежный, д.3",Многоквартирный дом,9,1982,7754.95,1959-1989,5-9,True,False,False,False,False,True,False,False
67,"б-р. Молодежный, д.3 корп.1",Многоквартирный дом,5,1969,5244.6,1959-1989,5-9,True,False,False,False,False,True,False,False
68,"б-р. Молодежный, д.4","Жилое здание (Гостиница, Общежитие)",9,1973,8755.6,1959-1989,5-9,True,False,False,False,False,True,False,False
69,"б-р. Молодежный, д.5",Многоквартирный дом,9,1971,7640.4,1959-1989,5-9,True,False,False,False,False,True,False,False
70,"б-р. Молодежный, д.5 корп.1",Многоквартирный дом,5,1969,5231.6,1959-1989,5-9,True,False,False,False,False,True,False,False
71,"б-р. Молодежный, д.5 корп.2",Многоквартирный дом,9,1989,1979.8,1959-1989,5-9,True,False,False,False,False,True,False,False
72,"б-р. Молодежный, д.5 корп.А",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
73,"б-р. Молодежный, д.6",Многоквартирный дом,9,1974,4538.0,1959-1989,5-9,True,False,False,False,False,True,False,False
74,"б-р. Молодежный, д.6 корп.1",Многоквартирный дом,15,2003,7311.2,2001-2010,> 13,False,False,True,False,False,False,False,True
75,"б-р. Молодежный, д.7",Многоквартирный дом,9,1971,7615.2,1959-1989,5-9,True,False,False,False,False,True,False,False
76,"б-р. Молодежный, д.7 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
77,"б-р. Молодежный, д.8",Многоквартирный дом,9,1973,7786.9,1959-1989,5-9,True,False,False,False,False,True,False,False
78,"б-р. Молодежный, д.8 корп.2",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
79,"б-р. Плеханова, д.1",Многоквартирный дом,9,1977,5708.5,1959-1989,5-9,True,False,False,False,False,True,False,False
80,"б-р. Плеханова, д.11",Многоквартирный дом,9,1977,3851.2,1959-1989,5-9,True,False,False,False,False,True,False,False
81,"б-р. Плеханова, д.11 корп.1",Многоквартирный дом,9,1977,3874.8,1959-1989,5-9,True,False,False,False,False,True,False,False
82,"б-р. Плеханова, д.13",Многоквартирный дом,9,1977,3853.0,1959-1989,5-9,True,False,False,False,False,True,False,False
83,"б-р. Плеханова, д.3",Многоквартирный дом,9,1977,3795.2,1959-1989,5-9,True,False,False,False,False,True,False,False
84,"б-р. Плеханова, д.5",Многоквартирный дом,9,1977,7579.7,1959-1989,5-9,True,False,False,False,False,True,False,False
85,"б-р. Плеханова, д.5 корп.1",Другое строение,1,,0.12,,,False,False,False,False,False,False,False,False
86,"б-р. Плеханова, д.7",Многоквартирный дом,9,1978,5652.6,1959-1989,5-9,True,False,False,False,False,True,False,False
87,"б-р. Плеханова, д.7 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
88,"б-р. Плеханова, д.9",Многоквартирный дом,12,1978,4799.9,1959-1989,10-12,True,False,False,False,False,False,True,False
89,"б-р. Плеханова, д.9 корп.1",Многоквартирный дом,9,1995,4099.6,1990-2000,5-9,False,True,False,False,False,True,False,False
90,"б-р. Славы, д.1",Многоквартирный дом,9,1971,2953.7,1959-1989,5-9,True,False,False,False,False,True,False,False
91,"б-р. Славы, д.1 корп.а",Многоквартирный дом,12,1984,4506.1,1959-1989,10-12,True,False,False,False,False,False,True,False
92,"б-р. Славы, д.1 корп.в",Многоквартирный дом,12,1985,3089.7,1959-1989,10-12,True,False,False,False,False,False,True,False
93,"б-р. Славы, д.11",Многоквартирный дом,5,1962,3425.1,1959-1989,5-9,True,False,False,False,False,True,False,False
94,"б-р. Славы, д.13",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
95,"б-р. Славы, д.14",Многоквартирный дом,5,1961,2283.5,1959-1989,5-9,True,False,False,False,False,True,False,False
96,"б-р. Славы, д.15",Многоквартирный дом,5,1962,2449.9,1959-1989,5-9,True,False,False,False,False,True,False,False
97,"б-р. Славы, д.16",Многоквартирный дом,5,1961,2344.5,1959-1989,5-9,True,False,False,False,False,True,False,False
98,"б-р. Славы, д.17",Многоквартирный дом,5,1962,3497.7,1959-1989,5-9,True,False,False,False,False,True,False,False
99,"б-р. Славы, д.18",Многоквартирный дом,5,1961,3213.5,1959-1989,5-9,True,False,False,False,False,True,False,False
100,"б-р. Славы, д.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
101,"б-р. Славы, д.2 корп.1",Многоквартирный дом,12,1982,3858.5,1959-1989,10-12,True,False,False,False,False,False,True,False
102,"б-р. Славы, д.2 корп.1цтп",Другое строение,1,1982,0.01,1959-1989,,True,False,False,False,False,False,False,False
103,"б-р. Славы, д.2 корп.2",Многоквартирный дом,12,1984,3813.9,1959-1989,10-12,True,False,False,False,False,False,True,False
104,"б-р. Славы, д.2 корп.3",Многоквартирный дом,12,1983,4203.4,1959-1989,10-12,True,False,False,False,False,False,True,False
105,"б-р. Славы, д.3",Многоквартирный дом,5,1963,2556.7,1959-1989,5-9,True,False,False,False,False,True,False,False
106,"б-р. Славы, д.4",Многоквартирный дом,5,1964,2541.8,1959-1989,5-9,True,False,False,False,False,True,False,False
107,"б-р. Славы, д.4 корп.2",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
108,"б-р. Славы, д.5",Многоквартирный дом,5,1985,2914.0,1959-1989,5-9,True,False,False,False,False,True,False,False
109,"б-р. Славы, д.6",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
110,б-р. Тухвата Янаби,Другое строение,0,,,,,False,False,False,False,False,False,False,False
111,"б-р. Тухвата Янаби, д.22",Многоквартирный дом,14,2000,16021.7,1990-2000,> 13,False,True,False,False,False,False,False,True
112,"б-р. Тухвата Янаби, д.24",Многоквартирный дом,9,1988,10067.5,1959-1989,5-9,True,False,False,False,False,True,False,False
113,"б-р. Тухвата Янаби, д.26",Многоквартирный дом,9,1982,7519.4,1959-1989,5-9,True,False,False,False,False,True,False,False
114,"б-р. Тухвата Янаби, д.26 корп.1",Другое строение,2,1986,0.01,1959-1989,1-2,True,False,False,False,False,False,False,False
115,"б-р. Тухвата Янаби, д.28",Многоквартирный дом,9,1982,3801.1,1959-1989,5-9,True,False,False,False,False,True,False,False
116,"б-р. Тухвата Янаби, д.28 корп.1",Другое строение,2,,0.02,,1-2,False,False,False,False,False,False,False,False
117,"б-р. Тухвата Янаби, д.30",Многоквартирный дом,9,1982,3814.2,1959-1989,5-9,True,False,False,False,False,True,False,False
118,"б-р. Тухвата Янаби, д.30 корп.1",Многоквартирный дом,9,1982,7514.1,1959-1989,5-9,True,False,False,False,False,True,False,False
119,"б-р. Тухвата Янаби, д.32",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
120,"б-р. Тухвата Янаби, д.32 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
121,"б-р. Тухвата Янаби, д.34","Административные здания, конторы",2,,0.01,,1-2,False,False,False,False,False,False,False,False
124,"б-р. Тухвата Янаби, д.34 корп.2",Другое строение,1,2013,0.01,2011-2024,,False,False,False,True,False,False,False,False
125,"б-р. Тухвата Янаби, д.36",Другое строение,1,2016,0.01,2011-2024,,False,False,False,True,False,False,False,False
126,"б-р. Тухвата Янаби, д.4",Многоквартирный дом,13,2015,19871.92,2011-2024,> 13,False,False,False,True,False,False,False,True
127,"б-р. Тухвата Янаби, д.45",Многоквартирный дом,9,1981,11309.0,1959-1989,5-9,True,False,False,False,False,True,False,False
128,"б-р. Тухвата Янаби, д.47",Многоквартирный дом,9,1982,8695.4,1959-1989,5-9,True,False,False,False,False,True,False,False
129,"б-р. Тухвата Янаби, д.47 корп.1","Жилое здание (Гостиница, Общежитие)",1,1981,0.01,1959-1989,,True,False,False,False,False,False,False,False
130,"б-р. Тухвата Янаби, д.49",Многоквартирный дом,9,1978,11266.0,1959-1989,5-9,True,False,False,False,False,True,False,False
131,"б-р. Тухвата Янаби, д.49 корп.1",Многоквартирный дом,9,1978,3857.4,1959-1989,5-9,True,False,False,False,False,True,False,False
132,"б-р. Тухвата Янаби, д.49 корп.2",Многоквартирный дом,9,1978,3864.7,1959-1989,5-9,True,False,False,False,False,True,False,False
133,"б-р. Тухвата Янаби, д.49 корп.3",Многоквартирный дом,9,1978,7507.5,1959-1989,5-9,True,False,False,False,False,True,False,False
134,"б-р. Тухвата Янаби, д.49 корп.4",Другое строение,3,,0.01,,3-4,False,False,False,False,True,False,False,False
135,"б-р. Тухвата Янаби, д.51",Многоквартирный дом,9,1979,7622.1,1959-1989,5-9,True,False,False,False,False,True,False,False
136,"б-р. Тухвата Янаби, д.51 корп.1",Другое строение,2,1980,0.01,1959-1989,1-2,True,False,False,False,False,False,False,False
137,"б-р. Тухвата Янаби, д.53",Многоквартирный дом,9,1986,9182.05,1959-1989,5-9,True,False,False,False,False,True,False,False
138,"б-р. Тухвата Янаби, д.53 корп.1",Многоквартирный дом,9,1986,2167.1,1959-1989,5-9,True,False,False,False,False,True,False,False
139,"б-р. Тухвата Янаби, д.53 корп.2",Многоквартирный дом,9,1985,6547.6,1959-1989,5-9,True,False,False,False,False,True,False,False
140,"б-р. Тухвата Янаби, д.57",Многоквартирный дом,9,1974,11155.1,1959-1989,5-9,True,False,False,False,False,True,False,False
141,"б-р. Тухвата Янаби, д.57 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
142,"б-р. Тухвата Янаби, д.59",Многоквартирный дом,9,1975,7571.5,1959-1989,5-9,True,False,False,False,False,True,False,False
143,"б-р. Тухвата Янаби, д.59 корп.1",Многоквартирный дом,9,1975,3800.9,1959-1989,5-9,True,False,False,False,False,True,False,False
144,"б-р. Тухвата Янаби, д.59 корп.2",Другое строение,4,1976,0.01,1959-1989,3-4,True,False,False,False,True,False,False,False
145,"б-р. Тухвата Янаби, д.61",Многоквартирный дом,9,1974,7598.8,1959-1989,5-9,True,False,False,False,False,True,False,False
146,"б-р. Тухвата Янаби, д.61 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
147,"б-р. Тухвата Янаби, д.63",Многоквартирный дом,9,1975,7511.2,1959-1989,5-9,True,False,False,False,False,True,False,False
148,"б-р. Тухвата Янаби, д.65",Многоквартирный дом,9,1973,7507.41,1959-1989,5-9,True,False,False,False,False,True,False,False
149,"б-р. Тухвата Янаби, д.65 корп.1",Многоквартирный дом,9,1974,3813.7,1959-1989,5-9,True,False,False,False,False,True,False,False
150,"б-р. Тухвата Янаби, д.65 корп.2.",Дет.ясли и сады,2,,0.01,,1-2,False,False,False,False,False,False,False,False
151,"б-р. Тухвата Янаби, д.65 корп.3",Многоквартирный дом,9,1978,4357.5,1959-1989,5-9,True,False,False,False,False,True,False,False
152,"б-р. Тухвата Янаби, д.67",Многоквартирный дом,9,1975,10991.0,1959-1989,5-9,True,False,False,False,False,True,False,False
153,"б-р. Тухвата Янаби, д.69",Многоквартирный дом,9,1973,7549.9,1959-1989,5-9,True,False,False,False,False,True,False,False
154,"б-р. Тухвата Янаби, д.69 корп.1",Многоквартирный дом,9,1973,3854.0,1959-1989,5-9,True,False,False,False,False,True,False,False
155,"б-р. Тухвата Янаби, д.69 корп.2.",Дет.ясли и сады,2,,0.01,,1-2,False,False,False,False,False,False,False,False
156,"б-р. Тухвата Янаби, д.71",Многоквартирный дом,12,1978,4045.3,1959-1989,10-12,True,False,False,False,False,False,True,False
157,"б-р. Тухвата Янаби, д.71 корп.1",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
158,"б-р. Тухвата Янаби, д.71 корп.2","Административные здания, конторы",1,,0.0,,,False,False,False,False,False,False,False,False
160,"б-р. Тухвата Янаби, д.71 корп.Б",Другое строение,1,,0.01,,,False,False,False,False,False,False,False,False
161,"б-р. Тухвата Янаби, д.73",Многоквартирный дом,2,1960,563.7,1959-1989,1-2,True,False,False,False,False,False,False,False
162,"б-р. Тухвата Янаби, д.75",Многоквартирный дом,2,1959,561.5,1959-1989,1-2,True,False,False,False,False,False,False,False
163,"б-р. Тухвата Янаби, д.75 корп.А",Многоквартирный дом,2,1959,560.3,1959-1989,1-2,True,False,False,False,False,False,False,False
164,"б-р. Тухвата Янаби, д.75 корп.Б",Многоквартирный дом,2,1960,560.5,1959-1989,1-2,True,False,False,False,False,False,False,False
165,"б-р. Тухвата Янаби, д.77",Многоквартирный дом,2,1960,570.6,1959-1989,1-2,True,False,False,False,False,False,False,False
166,"б-р. Тухвата Янаби, д.79",Многоквартирный дом,2,1960,577.0,1959-1989,1-2,True,False,False,False,False,False,False,False
167,"б-р. Тухвата Янаби, д.81",Многоквартирный дом,2,1960,558.1,1959-1989,1-2,True,False,False,False,False,False,False,False
168,"б-р. Тухвата Янаби, д.81 корп.А",Многоквартирный дом,2,1960,551.8,1959-1989,1-2,True,False,False,False,False,False,False,False
170,"б-р. Тюлькина, д.3",Многоквартирный дом,13,1994,5642.9,1990-2000,> 13,False,True,False,False,False,False,False,True
171,"б-р. Тюлькина, д.4",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
172,"б-р. Тюлькина, д.5",Многоквартирный дом,12,1983,2776.3,1959-1989,10-12,True,False,False,False,False,False,True,False
173,"б-р. Тюлькина, д.5 корп.1",Многоквартирный дом,12,1983,2786.4,1959-1989,10-12,True,False,False,False,False,False,True,False
174,"б-р. Тюлькина, д.7",Многоквартирный дом,12,1984,2764.6,1959-1989,10-12,True,False,False,False,False,False,True,False
175,"б-р. Тюлькина, д.7 корп.1",Многоквартирный дом,9,1983,5656.9,1959-1989,5-9,True,False,False,False,False,True,False,False
176,"б-р. Тюлькина, д.7 корп.2",Многоквартирный дом,9,1983,1702.0,1959-1989,5-9,True,False,False,False,False,True,False,False
177,"б-р. Тюлькина, д.7 корп.3",Многоквартирный дом,9,1983,2857.7,1959-1989,5-9,True,False,False,False,False,True,False,False
178,"б-р. Хадии Давлетшиной, д.11 корп.а",Другое строение,9,,0.01,,5-9,False,False,False,False,False,True,False,False
179,"б-р. Хадии Давлетшиной, д.11./а",Другое строение,0,,0.01,,,False,False,False,False,False,False,False,False
180,"б-р. Хадии Давлетшиной, д.13",Многоквартирный дом,10,1980,4056.2,1959-1989,10-12,True,False,False,False,False,False,True,False
181,"б-р. Хадии Давлетшиной, д.13 корп.1",Многоквартирный дом,9,1979,3841.22,1959-1989,5-9,True,False,False,False,False,True,False,False
182,"б-р. Хадии Давлетшиной, д.16",Многоквартирный дом,10,1987,12676.7,1959-1989,10-12,True,False,False,False,False,False,True,False
183,"б-р. Хадии Давлетшиной, д.16 корп.1",Многоквартирный дом,9,1987,4908.8,1959-1989,5-9,True,False,False,False,False,True,False,False
184,"б-р. Хадии Давлетшиной, д.17",Многоквартирный дом,10,1979,4060.9,1959-1989,10-12,True,False,False,False,False,False,True,False
185,"б-р. Хадии Давлетшиной, д.17 корп.1",Многоквартирный дом,9,1980,7495.2,1959-1989,5-9,True,False,False,False,False,True,False,False
186,"б-р. Хадии Давлетшиной, д.18",Многоквартирный дом,11,1992,21975.2,1990-2000,10-12,False,True,False,False,False,False,True,False
187,"б-р. Хадии Давлетшиной, д.18 корп.1",Другое строение,10,1995,0.01,1990-2000,10-12,False,True,False,False,False,False,True,False
188,"б-р. Хадии Давлетшиной, д.18 корп.1а","Административные здания, конторы",2,,0.01,,1-2,False,False,False,False,False,False,False,False
189,"б-р. Хадии Давлетшиной, д.18 корп.3",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
190,"б-р. Хадии Давлетшиной, д.18/1",Условное помещение,1,,,,,False,False,False,False,False,False,False,False
191,"б-р. Хадии Давлетшиной, д.19",Многоквартирный дом,9,1980,3832.2,1959-1989,5-9,True,False,False,False,False,True,False,False
192,"б-р. Хадии Давлетшиной, д.19 корп.1",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
193,"б-р. Хадии Давлетшиной, д.19 корп.2",Другое строение,1,2019,0.02,2011-2024,,False,False,False,True,False,False,False,False
194,"б-р. Хадии Давлетшиной, д.19 корп.а",Другое строение,2,,0.01,,1-2,False,False,False,False,False,False,False,False
195,"б-р. Хадии Давлетшиной, д.20 корп.1",Многоквартирный дом,3,1957,1155.3,1900-1958,3-4,False,False,False,False,True,False,False,False
197,"б-р. Хадии Давлетшиной, д.21",Многоквартирный дом,9,1982,4130.6,1959-1989,5-9,True,False,False,False,False,True,False,False
198,"б-р. Хадии Давлетшиной, д.23",Другое строение,3,2004,0.01,2001-2010,3-4,False,False,True,False,True,False,False,False
199,"б-р. Хадии Давлетшиной, д.24",Многоквартирный дом,11,2006,9793.1,2001-2010,10-12,False,False,True,False,False,False,True,False
200,"б-р. Хадии Давлетшиной, д.24 корп.1",Многоквартирный дом,12,1988,4030.5,1959-1989,10-12,True,False,False,False,False,False,True,False
201,"б-р. Хадии Давлетшиной, д.28",Другое строение,3,1974,0.01,1959-1989,3-4,True,False,False,False,True,False,False,False
202,"б-р. Хадии Давлетшиной, д.28*",Другое строение,0,,,,,False,False,False,False,False,False,False,False
203,"б-р. Хадии Давлетшиной, д.3",Другое строение,2,1939,0.01,1900-1958,1-2,False,False,False,False,False,False,False,False
204,"б-р. Хадии Давлетшиной, д.30",Многоквартирный дом,12,1981,6067.5,1959-1989,10-12,True,False,False,False,False,False,True,False
205,"б-р. Хадии Давлетшиной, д.30 корп.а",Другое строение,3,2005,0.01,2001-2010,3-4,False,False,True,False,True,False,False,False
206,"б-р. Хадии Давлетшиной, д.32",Другое строение,2,1983,0.01,1959-1989,1-2,True,False,False,False,False,False,False,False
207,"б-р. Хадии Давлетшиной, д.34",Многоквартирный дом,12,1980,6240.6,1959-1989,10-12,True,False,False,False,False,False,True,False
208,"б-р. Хадии Давлетшиной, д.4",Другое строение,4,1938,0.01,1900-1958,3-4,False,False,False,False,True,False,False,False
209,"б-р. Хадии Давлетшиной, д.4 корп.1",Другое строение,4,2007,0.01,2001-2010,3-4,False,False,True,False,True,False,False,False
210,"б-р. Хадии Давлетшиной, д.6",Многоквартирный дом,12,2012,6776.9,2011-2024,10-12,False,False,False,True,False,False,True,False
211,"б-р. Хадии Давлетшиной, д.9","Административные здания, конторы",9,,0.01,,5-9,False,False,False,False,False,True,False,False
212,"наб. Моторостроителей, д.13",Многоквартирный дом,18,2015,6786.71,2011-2024,> 13,False,False,False,True,False,False,False,True
213,"наб. Моторостроителей, д.15 корп.А",Многоквартирный дом,20,2014,7392.3,2011-2024,> 13,False,False,False,True,False,False,False,True
214,"наб. Моторостроителей, д.15 корп.Б",Многоквартирный дом,19,2014,8006.2,2011-2024,> 13,False,False,False,True,False,False,False,True
215,"наб. Моторостроителей, д.17",Многоквартирный дом,20,2013,7492.3,2011-2024,> 13,False,False,False,True,False,False,False,True
216,"пер. Дачный, д.4",Многоквартирный дом,5,1972,3344.8,1959-1989,5-9,True,False,False,False,False,True,False,False
217,"пер. Дачный, д.6",Многоквартирный дом,5,1969,4471.2,1959-1989,5-9,True,False,False,False,False,True,False,False
